Ram,CPU_freq,PrimaryStorage,Weight,ScreenW,ScreenH,TypeName_Notebook,PrimaryStorageType_SSD,Inches,PrimaryStorageType_HDD,Screen_Standard,Screen_Full HD,Price_euros
0.2258064516129032,0.7037037037037036,0.1215686274509803,0.4339152119700749,0.2239288601455133,0.2241379310344827,0.0,1.0,0.8674698795180725,0.0,0.0,1.0,0.3839662447257383
0.032258064516129,0.4074074074074074,0.1215686274509803,0.3266832917705736,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.040675105485232
0.2258064516129032,0.3333333333333333,0.1215686274509803,0.5261845386533666,0.2239288601455133,0.2241379310344827,1.0,1.0,0.8674698795180725,0.0,0.0,1.0,0.189873417721519
0.0967741935483871,0.2592592592592592,0.1215686274509803,0.2518703241895262,0.2239288601455133,0.2241379310344827,0.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.1189873417721519
0.0967741935483871,0.6666666666666667,0.1215686274509803,0.2518703241895262,0.2239288601455133,0.2241379310344827,1.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.0717299578059071
0.0967741935483871,0.2592592592592592,0.1215686274509803,0.1770573566084788,0.2239288601455133,0.2241379310344827,1.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.1294514767932489
0.0967741935483871,0.5925925925925926,0.1215686274509803,0.2917705735660848,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.0870886075949367
0.2258064516129032,0.7037037037037036,0.2470588235294117,0.2768079800498753,0.2239288601455133,0.2241379310344827,0.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.3053164556962025
0.032258064516129,0.4074074074074074,0.2411764705882353,0.2917705735660848,0.0,0.0,1.0,0.0,0.6626506024096387,1.0,1.0,0.0,0.0446734177215189
0.032258064516129,0.2592592592592592,0.0117647058823529,0.1870324189526184,0.0,0.0,1.0,1.0,0.4698795180722893,0.0,1.0,0.0,0.0092827004219409
